entity_type,id,created_at,updated_at,unit_name,unit_type,district,parent_unit_id,locality_name,police_station,state,address_text,latitude,longitude,repeat_cluster_id,court_name,court_level,act_name,act_code,jurisdiction,short_name,section_code,section_text,severity_band,act_id,head_code,head_name,category_group,sub_head_code,sub_head_name,head_id,fir_number,case_number,case_stage,offence_category,reported_at,incident_at,risk_band,full_name,rank,badge_number,station_name,unit_id,supervisor_rank,aliases,role,age,gender,phone_number,vehicle_registration_number,shared_phone_cluster_id,shared_vehicle_cluster_id,shared_address_cluster_id,assigned_case_ids,case_id,dependency_type,status,requested_at,due_at,resolved_at,assigned_to_officer_id,days_stale,notes,evidence_type,description,collected_at,collected_by_officer_id,chain_of_custody_status,clock_type,start_date,deadline_date,days_remaining,bnss_reference,stage
Unit,63bdc4d7-45ff-55c4-86d7-b9242f1a0a6c,2026-07-08T09:37:39.936890+00:00,2026-07-08T09:37:39.936890+00:00,Bengaluru City District HQ,district_hq,Bengaluru City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit,d026cf93-4df9-57f2-9b07-dcd6e45954a5,2026-07-08T03:37:39.936890+00:00,2026-07-08T03:37:39.936890+00:00,Ashok Nagar,police_station,Bengaluru City,63bdc4d7-45ff-55c4-86d7-b9242f1a0a6c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit,b6b3bfce-91b8-5dd5-9664-a030ee985b94,2026-07-07T21:37:39.936890+00:00,2026-07-07T21:37:39.936890+00:00,Jayanagar,police_station,Bengaluru City,63bdc4d7-45ff-55c4-86d7-b9242f1a0a6c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit,e8d18e0f-b633-5389-8b85-483c4833951c,2026-07-07T15:37:39.936890+00:00,2026-07-07T15:37:39.936890+00:00,Malleshwaram,police_station,Bengaluru City,63bdc4d7-45ff-55c4-86d7-b9242f1a0a6c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit,cab26a3c-0dea-5a62-90cf-e189be9164b1,2026-07-08T03:37:39.936890+00:00,2026-07-08T03:37:39.936890+00:00,Mysuru District HQ,district_hq,Mysuru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit,9f261fbc-29cf-50ed-a2ef-e322419768c2,2026-07-07T03:37:39.936890+00:00,2026-07-07T03:37:39.936890+00:00,Mysuru North,police_station,Mysuru,cab26a3c-0dea-5a62-90cf-e189be9164b1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit,e9f64a99-6995-5e0e-9286-6c07392cd468,2026-07-06T21:37:39.936890+00:00,2026-07-06T21:37:39.936890+00:00,Mysuru South,police_station,Mysuru,cab26a3c-0dea-5a62-90cf-e189be9164b1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit,578652cf-33b2-52d6-9323-376b387769c5,2026-07-06T15:37:39.936890+00:00,2026-07-06T15:37:39.936890+00:00,Nanjangud,police_station,Mysuru,cab26a3c-0dea-5a62-90cf-e189be9164b1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit,cb9c1daf-a01c-5579-b3ec-5042b3cd1b4e,2026-07-07T21:37:39.936890+00:00,2026-07-07T21:37:39.936890+00:00,Mangaluru District HQ,district_hq,Mangaluru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit,96f96602-27a7-53b7-b032-64bce59dffce,2026-07-06T03:37:39.936890+00:00,2026-07-06T03:37:39.936890+00:00,Mangaluru North,police_station,Mangaluru,cb9c1daf-a01c-5579-b3ec-5042b3cd1b4e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit,8afef927-d821-5a07-9ba0-c30062ced528,2026-07-05T21:37:39.936890+00:00,2026-07-05T21:37:39.936890+00:00,Mangaluru South,police_station,Mangaluru,cb9c1daf-a01c-5579-b3ec-5042b3cd1b4e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit,6ca7530e-d82f-5b3b-b0e7-7e7edfa4e3d6,2026-07-05T15:37:39.936890+00:00,2026-07-05T15:37:39.936890+00:00,Bantwal,police_station,Mangaluru,cb9c1daf-a01c-5579-b3ec-5042b3cd1b4e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit,78d369f8-320f-5a39-9577-3c06429d2bf4,2026-07-07T15:37:39.936890+00:00,2026-07-07T15:37:39.936890+00:00,Belagavi District HQ,district_hq,Belagavi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit,03593924-2b4e-5d37-bcd2-8c0b4924d004,2026-07-05T03:37:39.936890+00:00,2026-07-05T03:37:39.936890+00:00,Belagavi North,police_station,Belagavi,78d369f8-320f-5a39-9577-3c06429d2bf4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit,710e4a68-69bc-5958-b334-835722f7cb13,2026-07-04T21:37:39.936890+00:00,2026-07-04T21:37:39.936890+00:00,Belagavi South,police_station,Belagavi,78d369f8-320f-5a39-9577-3c06429d2bf4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit,2925a610-37d3-5593-a2c2-bff60172f6a4,2026-07-04T15:37:39.936890+00:00,2026-07-04T15:37:39.936890+00:00,Bailhongal,police_station,Belagavi,78d369f8-320f-5a39-9577-3c06429d2bf4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit,634be751-f233-5bdf-b4b4-bff71b0e2ef2,2026-07-07T09:37:39.936890+00:00,2026-07-07T09:37:39.936890+00:00,Hubballi-Dharwad District HQ,district_hq,Hubballi-Dharwad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit,5d9745e6-a843-50f9-80a9-6849d82ac473,2026-07-04T03:37:39.936890+00:00,2026-07-04T03:37:39.936890+00:00,Hubballi Town,police_station,Hubballi-Dharwad,634be751-f233-5bdf-b4b4-bff71b0e2ef2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit,2123a73a-8509-59a2-9486-8a80729cd3bb,2026-07-03T21:37:39.936890+00:00,2026-07-03T21:37:39.936890+00:00,Dharwad Town,police_station,Hubballi-Dharwad,634be751-f233-5bdf-b4b4-bff71b0e2ef2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit,d5e899cc-3721-5c7e-a148-da6898d63e9f,2026-07-03T15:37:39.936890+00:00,2026-07-03T15:37:39.936890+00:00,Navalgund,police_station,Hubballi-Dharwad,634be751-f233-5bdf-b4b4-bff71b0e2ef2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit,9afff55e-c63f-573f-b4b9-63545636a6f6,2026-07-07T03:37:39.936890+00:00,2026-07-07T03:37:39.936890+00:00,Kalaburagi District HQ,district_hq,Kalaburagi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit,d24bbaf8-b783-526a-97aa-61b9e576cc4c,2026-07-03T03:37:39.936890+00:00,2026-07-03T03:37:39.936890+00:00,Kalaburagi North,police_station,Kalaburagi,9afff55e-c63f-573f-b4b9-63545636a6f6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit,f808bc2c-d099-52aa-8698-23399b28a2b9,2026-07-02T21:37:39.936890+00:00,2026-07-02T21:37:39.936890+00:00,Kalaburagi South,police_station,Kalaburagi,9afff55e-c63f-573f-b4b9-63545636a6f6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit,ab6ab0b0-59ee-5a8a-8eae-884c5fec5738,2026-07-02T15:37:39.936890+00:00,2026-07-02T15:37:39.936890+00:00,Sedam,police_station,Kalaburagi,9afff55e-c63f-573f-b4b9-63545636a6f6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,a2c44b1c-03cb-5f29-987e-22a94254abe1,2026-07-08T09:37:39.936890+00:00,2026-07-08T09:37:39.936890+00:00,,,Kalaburagi,,Hebbal Ring Road,Kalaburagi North,Karnataka,"29, MG Road, Bengaluru",19.415505,77.959135,location-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,db85c3c8-46ee-570c-af38-2cf7b8a1465c,2026-07-08T03:37:39.936890+00:00,2026-07-08T03:37:39.936890+00:00,,,Bengaluru City,,Brigade Road,Malleshwaram,Karnataka,"189, MG Road, Bengaluru",18.766995,83.137437,location-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,10dc75a1-20c2-5593-b081-4f73572fd9c9,2026-07-07T21:37:39.936890+00:00,2026-07-07T21:37:39.936890+00:00,,,Mangaluru,,MG Road,Mangaluru North,Karnataka,"152, Jayanagar 4th Block, Bengaluru",12.317827,76.749562,location-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,e1ddaa1e-e38d-53cb-ba6b-41bcbf14fa85,2026-07-07T15:37:39.936890+00:00,2026-07-07T15:37:39.936890+00:00,,,Mysuru,,Brigade Road,Mysuru North,Karnataka,"130, Indiranagar 12th Main, Bengaluru",12.26536,77.590701,location-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,6105c3e5-1ca2-507a-8a93-18f19158e56d,2026-07-07T09:37:39.936890+00:00,2026-07-07T09:37:39.936890+00:00,,,Kalaburagi,,Hebbal Ring Road,Kalaburagi North,Karnataka,"180, Indiranagar 12th Main, Bengaluru",16.195198,79.593672,location-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,2f920534-5279-5faa-985a-66523b6138ba,2026-07-07T03:37:39.936890+00:00,2026-07-07T03:37:39.936890+00:00,,,Kalaburagi,,Church Street,Sedam,Karnataka,"208, MG Road, Bengaluru",19.588074,77.277275,location-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,1752ab3a-12db-548d-af61-7cda374114c3,2026-07-06T21:37:39.936890+00:00,2026-07-06T21:37:39.936890+00:00,,,Hubballi-Dharwad,,Jayanagar 4th Block,Hubballi Town,Karnataka,"88, Church Street, Bengaluru",13.554795,83.657705,location-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,fe75274c-cbc3-5140-b55d-aae99eb7ceb7,2026-07-06T15:37:39.936890+00:00,2026-07-06T15:37:39.936890+00:00,,,Hubballi-Dharwad,,Church Street,Dharwad Town,Karnataka,"27, MG Road, Bengaluru",15.799273,78.871835,location-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,91b695ca-1495-50b0-ae5c-bee47c889df0,2026-07-06T09:37:39.936890+00:00,2026-07-06T09:37:39.936890+00:00,,,Bengaluru City,,Church Street,Ashok Nagar,Karnataka,"155, Church Street, Bengaluru",20.071283,81.837854,location-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,c015e5c4-3bae-5e1f-a2e3-3e619b585943,2026-07-06T03:37:39.936890+00:00,2026-07-06T03:37:39.936890+00:00,,,Bengaluru City,,Indiranagar 12th Main,Ashok Nagar,Karnataka,"32, Jayanagar 4th Block, Bengaluru",12.788002,78.345426,location-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,a96d5b7a-b995-5d0e-b216-e798e22ec9c8,2026-07-05T21:37:39.936890+00:00,2026-07-05T21:37:39.936890+00:00,,,Mysuru,,Hebbal Ring Road,Nanjangud,Karnataka,"159, Church Street, Bengaluru",17.773521,81.636575,location-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,71250dd6-2c96-561c-8664-79307dd125ce,2026-07-05T15:37:39.936890+00:00,2026-07-05T15:37:39.936890+00:00,,,Hubballi-Dharwad,,MG Road,Hubballi Town,Karnataka,"170, Brigade Road, Bengaluru",19.730683,83.881772,location-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,3ab29c72-ba0c-5732-ae4d-7f8c2e7d7ab1,2026-07-05T09:37:39.936890+00:00,2026-07-05T09:37:39.936890+00:00,,,Hubballi-Dharwad,,Brigade Road,Hubballi Town,Karnataka,"222, MG Road, Bengaluru",15.801262,79.627282,location-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,68ee4107-662b-562c-a802-baeca21ac7d6,2026-07-05T03:37:39.936890+00:00,2026-07-05T03:37:39.936890+00:00,,,Kalaburagi,,Church Street,Sedam,Karnataka,"42, Church Street, Bengaluru",15.552707,81.361401,location-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
